state-city,start_zipcode,end_zipcode
AL-Fort Mitchell,36856,36856
AL-Fort Payne,35967,35968
AL-Fort Rucker,36362,36362
AL-Fosters,35463,35463
AL-Franklin,36444,36444
AL-Frankville,36538,36538
AL-Frisco City,36445,36445
AL-Fruitdale,36539,36539
AL-Fruithurst,36262,36262
AL-Fulton,36446,36446
AL-Fultondale,35068,35068
AL-Furman,36741,36741
AL-Fyffe,35971,35971
AL-Gadsden,35901,35907
AL-Gainestown,36540,36540
AL-Gainesville,35464,35464
AL-Gallant,35972,35972
AL-Gallion,36742,36742
AL-Gantt,36038,36038
AL-Garden City,35070,35070
AL-Gardendale,35071,35071
AL-Gaylesville,35973,35973
AL-Geneva,36340,36340
AL-Georgiana,36033,36033
AL-Geraldine,35974,35974
AL-Gilbertown,36908,36908
AL-Glen Allen,35559,35559
AL-Glenwood,36034,36034
AL-Goodsprings,35560,35560
AL-Goodwater,35072,35072
AL-Goodway,36449,36449
AL-Gordo,35466,35466
AL-Gordon,36343,36343
AL-Goshen,36035,36035
AL-Grady,36036,36036
AL-Graham,36263,36263
AL-Grand Bay,36541,36541
AL-Grant,35747,35747
AL-Graysville,35073,35073
AL-Green Pond,35074,35074
AL-Greensboro,36744,36744
AL-Greenville,36037,36037
AL-Grove Hill,36451,36451
AL-Groveoak,35975,35975
AL-Guin,35563,35563
AL-Gulf Shores,36542,36547
AL-Guntersville,35976,35976
AL-Gurley,35748,35748
AL-Hackleburg,35564,35564
AL-Haleyville,35565,35565
AL-Hamilton,35570,35570
AL-Hanceville,35077,35077
AL-Hardaway,36039,36039
AL-Harpersville,35078,35078
AL-Hartford,36344,36344
AL-Hartselle,35640,35640
AL-Harvest,35749,35749
AL-Hatchechubbee,36858,36858
AL-Hayden,35079,35079
AL-Hayneville,36040,36040
AL-Hazel Green,35750,35750
AL-Headland,36345,36345
AL-Heflin,36264,36264
AL-Helena,35080,35080
AL-Henagar,35978,35978
AL-Higdon,35979,35979
AL-Highland Home,36041,36041
AL-Hillsboro,35643,35643
AL-Hodges,35571,35571
AL-Hollins,35082,35082
AL-Holly Pond,35083,35083
AL-Hollytree,35751,35751
AL-Hollywood,35752,35752
AL-Holy Trinity,36859,36859
AL-Honoraville,36042,36042
AL-Hope Hull,36043,36043
AL-Horton,35980,35980
AL-Houston,35572,35572
AL-Huntsville,35801,35899
AL-Hurtsboro,36860,36860
AL-Huxford,36543,36543
AL-Ider,35981,35981
AL-Irvington,36544,36544
AL-Jachin,36910,36910
AL-Jack,36346,36346
AL-Jackson,36545,36545
AL-Jacksons Gap,36861,36861
AL-Jacksonville,36265,36265
AL-Jasper,35501,35504
AL-Jefferson,36745,36745
AL-Jemison,35085,35085
AL-Jones,36749,36749
AL-Joppa,35087,35087
AL-Kansas,35573,35573
AL-Kellerman,35468,35468
AL-Kellyton,35089,35089
AL-Kennedy,35574,35574
AL-Kent,36045,36045
AL-Killen,35645,35645
AL-Kimberly,35091,35091
AL-Kinston,36453,36453
AL-Knoxville,35469,35469
AL-Laceys Spring,35754,35754
AL-Lafayette,36862,36862
AL-Lanett,36863,36863
AL-Langston,35755,35755
AL-Lapine,36046,36046
AL-Lawley,36793,36793
AL-Leeds,35094,35094
AL-Leesburg,35983,35983
AL-Leighton,35646,35646
AL-Lenox,36454,36454
AL-Leroy,36548,36548
AL-Lester,35647,35647
AL-Letohatchee,36047,36047
AL-Lexington,35648,35648
AL-Lillian,36549,36549
AL-Lincoln,35096,35096
AL-Linden,36748,36748
AL-Lineville,36266,36266
AL-Lisman,36912,36912
AL-Little River,36550,36550
AL-Livingston,35470,35470
AL-Loachapoka,36865,36865
AL-Lockhart,36455,36455
AL-Locust Fork,35097,35097
AL-Logan,35098,35098
AL-Louisville,36048,36048
AL-Lower Peach Tree,36751,36751
AL-Lowndesboro,36752,36752
AL-Loxley,36551,36551
AL-Luverne,36049,36049
AL-Lynn,35575,35575
AL-Madison,35756,35758
AL-Magnolia,36754,36754
AL-Magnolia Springs,36555,36555
AL-Malcolm,36556,36556
AL-Malvern,36349,36349
AL-Maplesville,36750,36750
AL-Marbury,36051,36051
AL-Margaret,35112,35112
AL-Marion,36756,36756
AL-Marion Junction,36759,36759
AL-Mathews,36052,36052
AL-Maylene,35114,35114
AL-Mc Calla,35111,35111
AL-Mc Intosh,36553,36553
AL-Mc Kenzie,36456,36456
AL-Mc Shan,35471,35471
AL-Mc Williams,36753,36753
AL-Megargel,36457,36457
AL-Melvin,36913,36913
AL-Mentone,35984,35984
AL-Meridianville,35759,35759
AL-Mexia,36458,36458
AL-Midland City,36350,36350
AL-Midway,36053,36053
AL-Millbrook,36054,36054
AL-Millerville,36267,36267
AL-Millport,35576,35576
AL-Millry,36558,36558
AL-Minter,36761,36761
AL-Mobile,36601,36695
AL-Monroeville,36460,36461
AL-Montevallo,35115,35115
AL-Montgomery,36101,36191
AL-Montrose,36559,36559
AL-Moody,35004,35004
AL-Mooresville,35649,35649
AL-Morris,35116,35116
AL-Moulton,35650,35650
AL-Moundville,35474,35474
AL-Mount Hope,35651,35651
AL-Mount Meigs,36057,36057
AL-Mount Olive,35117,35117
AL-Mount Vernon,36560,36560
AL-Mulga,35118,35118
AL-Munford,36268,36268
AL-Muscadine,36269,36269
AL-Muscle Shoals,35661,35662
AL-Myrtlewood,36763,36763
AL-Nanafalia,36764,36764
AL-Natural Bridge,35577,35577
AL-Nauvoo,35578,35578
AL-Needham,36915,36915
AL-New Brockton,36351,36351
AL-New Castle,35119,35119
